hand,board
"9h,8d","2c,8s,As,Ad"
"Jd,7h","Ts,3d,6d,7c,As"
"3s,Kc","7d,8d,6c"
"Kd,Ts","Th,3c,Ac"
"Ac,Jd","9h,5c,8h,8s,As"
"6h,8s","7h,4c,9c,8h"
"2h,4c","6c,Ac,3c,4s"
"Ad,9s","7h,As,Ks,4c,8s"
"Jd,6s","4s,8s,8d"
"6h,4c","2s,3c,Js,Kh"
"3c,7d","7h,As,Kd,Kh,6d"
"3d,4d","Td,Kc,2h,Kd"
"As,Tc","Jc,Jh,7h"
"8c,9c","3h,5h,3s"
"2h,6s","5h,3c,4d"
"8d,Th","6s,9h,As,Jc,Qs"
"6h,3c","4d,Qs,7c,3d"
"Th,6s","Jh,5s,Qs,Ac,Jd"
"2c,6h","7d,Jc,5s,7s,9h"
"As,4s","2s,9c,4c,Ac,2c"
"Qh,Qc","5h,Js,Td,9c"
"5s,Js","3c,2s,7d"
"2c,Js","Tc,Jh,5h,8h"
"2s,2c","8s,Qc,6h"
"2c,Ks","Qs,9h,Ad"
"As,Kc","Qs,4d,Jh,7c,3d"
"6d,5h","Ts,8h,5s,6c,4c"
"Tc,Kh","8c,Kc,Th"
"Jd,Qd","5h,Ks,Th,5c"
"4h,Ad","Kc,Ah,Td,5s"
"Td,Kh","Jd,5d,5s,3s"
"7h,9h","4d,Ad,Ks,7s"
"8c,Ac","Kh,Ts,6d"
"Js,3d","6c,7d,4h,7c,8c"
"Qd,2d","Ks,Qs,Js,5d"
"Qs,4h","2s,Kh,3d,Qd"
"Js,7s","Ah,3d,7d,6h"
"5c,Qc","5d,6s,4s"
"Ac,As","5h,Jh,6d,7d"
"2h,Td","5d,6h,7d,5c,4h"
"Tc,Jh","3s,6s,3c"
"2h,4h","6d,4s,2s,Ts,Kd"
"7s,Qd","Tc,6c,Ah,Qc,3h"
"Kh,6h","3d,5s,Qd"
"6c,Ah","Td,Jc,6h,3c,Ad"
"Kd,2h","5h,5c,Jc"
"5h,6s","Jh,3s,Ad,Jd,Td"
"Kd,As","4s,9h,7h,7c,2h"
"Kh,4d","7c,3c,Qh,2h"
"2d,Kc","6c,Jh,Js,Ah,3h"
"6d,Ah","7d,4s,Qc,6h"
"Qd,6c","3s,2h,7c,7s,Ah"
"3h,4d","Jc,9d,2c"
"6d,Jd","7d,6h,5h,4c"
"2s,Ac","Kc,Qh,6d,6h,5d"
"7d,Jh","6d,9c,Td,6h"
"2s,2d","Jh,3h,Ah,8c"
"3h,5d","8h,6d,6h,As"
"Ah,Jh","6h,2h,6d,2s"
"Tc,6c","4c,7d,6d"
"Jd,Qs","4s,Jh,Qc,9c"
"8c,8h","Jh,Qs,7s"
"Qd,Td","7d,2h,8c,As,3s"
"2s,4c","Qc,3c,Kc,Ad"
"Ad,Tc","Th,2s,9d"
"4d,9s","Js,Ts,2h"
"8s,Js","5s,4d,8h,8d"
"4h,7c","Ac,5c,9s,6d,6h"
"3d,Tc","4c,8d,9h,Jd"
"6s,Kc","Qh,9s,8d"
"Kd,Kc","2h,9d,7d"
"Qd,7c","3c,6d,Qh,Qs,3h"
"Ad,9c","6d,6h,Kh,Kc"
"Qs,3s","Qh,4h,Ad,Kh,6d"
"6h,5h","2s,Jh,5d,2c"
"8d,5d","Ah,2h,3s,8h"
"2s,Qs","7h,Jd,2h,5s"
"Ah,Jh","2s,Jc,6h,6c,Ad"
"Jd,2s","9c,Kh,2c"
"Td,9h","2c,Jc,2d,5d"
"3d,Ks","2h,9c,Jd,Ts,4d"
"9s,2h","Qh,5c,9d,3c"
"Qh,2c","5h,Qc,4d"
"Th,Qs","Ts,8d,Kh,3c"
"Qh,5s","9h,5c,Qs,2s,4s"
"4h,7c","5d,Jh,6c,7d,8h"
"3c,6s","7h,6h,Qh,7d"
"Ac,3s","Kh,2c,Ad,4d"
"2c,Kh","Qh,4s,3d"
"2c,Ts","8d,3d,Qd"
"9c,7c","Ks,Qd,7h,Ac,Jc"
"4h,3d","9d,2d,4d,Js,8c"
"5c,3s","6h,6d,Kh"
"3d,7h","Jc,6d,Kd,Ks,9s"
"Td,Js","Th,4d,Qs,4h,Jc"
"Th,Jc","5s,Tc,3s,Ac"
"2c,4s","7d,5d,Kd,3c,9h"
"9c,2d","Ad,4c,Ts,2c,8d"
"Ac,2d","5c,Ks,Th,Kd"
"9c,Js","6d,2d,Kd"
"2h,As","Tc,2s,9d,3c"
"Tc,Kd","Qd,Ad,3d,Ks"
"Ts,Qh","4c,7c,4h,5s,3d"
"7h,2d","Ad,3d,2h,9c,7s"
"9s,3c","2h,5d,Jd,2d,3h"
"3h,Ad","7h,5s,Jc,9h"
"9h,Tc","Jc,Kh,7s,9s,Td"
"3d,Jd","Jh,Ac,Kh,7d"
"8h,7c","8s,Th,Ah"
"Th,Qh","3d,8h,8s,Qd"
"Ks,Ac","8c,3d,Js"
"6s,3c","Kc,Ac,6c,5s"
"Jc,Kc","9d,5c,Ah,Jd,2d"
"Qs,Kh","9s,Jh,As"
"6d,Kd","2s,Ts,Jd"
"4c,5c","3h,Jh,9d,4s,Qh"
"Ah,6d","Js,5d,4c,8c"
"3c,Th","Qh,Ah,Kc,9h,2h"
"Kd,7c","2h,Jh,Qd"
"3s,4s","2s,Ts,8c,Jd"
"9c,3c","3d,Ad,2c,Ts,4s"
"9c,6c","Kc,6h,9h"
"4h,3s","Tc,3h,5d,8h"
"9c,4s","Jc,6h,6c,Kc"
"6d,Qs","9h,2s,Ah,Td,9s"
"6c,Qs","8c,Ah,5h"
"Qd,9h","9s,Kh,4d,Jh,Ad"
"5d,8d","4d,8h,6s"
"Jc,Qd","5h,Ks,4h"
"4s,3d","Js,4d,8c,8s"
"Qd,9h","Kh,Qh,Tc,Kc"
"6c,9c","Kc,3c,Qs,7c"
"7s,2d","Qs,As,Ac,6c"
"Jd,3c","Ac,4h,7s,Th,Qh"
"Th,7s","4s,4d,2h,Js"
"Ts,Tc","7c,Kd,3c,6d,Jh"
"Jd,6s","Qs,Ad,8s,Jc"
"9s,Tc","4h,3c,4d,7d"
"6s,Qd","8d,5h,4c,5c"
"6h,9s","Ks,3c,8s"
"2d,5c","Js,2c,Qs"
"Jc,4h","7h,5s,Qs,7s"
"Kc,Jh","6d,7c,7d,6s,9c"
"Ts,6h","4s,5d,8c"
"8h,Jh","2c,4c,Tc,Js,Ad"
"9c,Kc","7h,Jc,As,5s,9h"
"Ad,8d","8h,2s,8c,Ks"
"2s,Jh","Qs,3c,8c"
"5s,3h","3d,6s,8h,Ah,4h"
"5d,5s","8c,9d,Kh,6h,9h"
"7c,8d","6d,9d,Ts"
"6c,5d","Jh,4h,7d,8h"
"9s,6h","7s,9h,As"
"Qc,7h","8h,4c,9s,Ac,9c"
"6s,Kc","Qc,Jc,9d,8h"
"Qc,Qh","8s,4s,3d"
"9h,6h","Jd,7s,5d,Td,Kd"
"Td,8c","2d,Qd,4s,Ac"
"6h,8c","8h,Ac,3h,9c"
"3c,2h","9s,8d,Ts"
"4h,Ks","5s,9s,9h,7h"
"3d,Qh","7h,2h,5c,7c,Ac"
"Jh,4s","Ah,Ks,8d"
"5c,3s","6h,8s,9c,3d,Tc"
"Kc,Qc","3s,8c,Qd,Th,As"
"3s,Ad","9c,6h,3h,6c,5c"
"7d,8h","5c,Qs,Kh"
"9d,Ks","7s,Qd,Ac"
"Ks,Jc","Kc,8h,8c,Qc,3s"
"As,Th","7c,Kd,3d,4h,3s"
"5s,Qs","9s,7c,Qd"
"4s,Tc","Qc,Ah,9d,6h,Ac"
"Th,7h","7d,2c,2s"
"Tc,8s","Th,7c,6d"
"2d,2h","9h,Kh,Qc"
"Qc,6d","6s,4h,7h"
"8h,Qc","2h,6c,2d,7d"
"5d,6c","9h,Tc,Jc,2h,Ts"
"5c,Kh","3s,Qc,Qs,2s,4c"
"9d,Kd","3h,2d,3c,Ac,Ks"
"7c,Qs","8s,Th,Qh,Jc,2s"
"Qc,8d","9d,Ad,Kd,As,5d"
"9c,Jh","Tc,8s,Kc,4c,5d"
"3h,7d","Ah,4h,Kc"
"Qc,Ad","Qs,2s,Ks,2h,3h"
"9h,8s","9c,Ah,Qh,5c"
"4c,Ad","8h,Td,5d,7s"
"Kc,2s","Th,Qs,6c"
"8d,9h","2s,5d,Ah"
"7c,Qh","Ad,3d,Ah,5d,6h"
"Qc,4d","Kd,5h,Kc,8s"
"Ad,7d","Kh,5h,Ah"
"6c,8c","Qc,4s,7h"
"Jd,8d","9d,8c,Kc,5s"
"Jh,3s","Ac,Qh,5h,7c"
"7h,9h","Ah,8c,Qc"
"Kd,9c","Js,7c,2h"
"8h,7h","3d,Jh,6s"
"8s,2h","2c,Td,4h,7c,Kd"
"Js,7d","7h,8h,6h"
"Js,Qh","5s,3h,Td,Jh"
"9c,3d","4h,Kh,3h"
"Qc,Qh","7c,Kd,9s,8h"
"8s,4h","6c,3c,Kc,6d,Js"
"Tc,8h","4c,9s,6h"
"6s,Ah","3h,5d,9s,9h"
"6s,As","7d,3c,2h,Td"
"8s,Qd","4s,Ks,Jd,Ac"
"Ah,9c","Ts,3s,3d"
"6h,Kd","Kh,2c,6c"
"9h,3s","4s,Th,Tc,6h,Jd"
"4h,8h","5h,8s,7h"
"7s,Ac","5h,Js,9d,7c"
"4d,8c","9h,Js,9d"
"As,Qd","2d,Jc,2c,7d,Qs"
"Qd,Td","9h,Tc,2d"
"Tc,Td","2s,6c,Kd,7c"
"Qc,9s","Jh,4d,8s,Qs"
"9c,Qh","Ac,Kd,Jc,2d"
"4h,Qd","9s,4c,9h,Jh,8s"
"7s,9d","8h,2s,Th,5h"
"9s,7d","Td,8s,Qc,7s"
"Th,Td","Ts,Kc,5c"
"8d,7h","Ad,3d,8c,9h"
"2h,7d","3c,7c,2c,3d"
"Th,5h","Ah,9d,6h,Ts"
"6d,7s","8h,3h,6s,5h"
"Kh,6h","3d,9d,4c,Jd,Kd"
"3s,7s","2s,8h,2c"
"2d,3d","Kd,6h,Jd,Ac,2s"
"7s,6s","Ts,3d,3h,5h"
"Td,Ah","Ks,5d,Qh,Jh"
"Ah,6s","As,Jc,2c,4s"
"Ts,4d","Kc,5h,6h,2d"
"2s,Ac","Th,9h,7h,3s,5d"
"9s,3s","Js,Qd,5h,Jc"
"9s,Js","6h,3d,Jd,9d"
"4c,3d","3c,6c,4h,5h"
"9h,8d","2d,Kd,3h,Ah"
"4h,3d","Kc,Kd,6d"
"5h,4d","Jh,Ad,3c,Qh,2c"
"3c,Th","5c,Tc,Kd,4d,2h"
"Ah,Td","Qs,8s,Ks,As"
"4s,Jd","Ad,Td,4h,7c,9c"
"As,Jd","Td,Kh,5c"
"4c,Ts","9h,9c,2d,8h"
"4c,6h","6c,5c,2h,Jh,Qs"
"8c,6s","Tc,Kc,Ad"
"Jd,7h","Qh,5h,Js,Qs"
"2c,Qd","Jd,6h,As,3d"
"9s,6h","4s,4c,4h"
"4d,9h","Kd,Jc,Ad,Qc,5h"
"8d,4h","7c,7d,Jh"
"2d,5s","Tc,2c,Kh,Td,3h"
"7c,6h","8h,9c,4c"
"4s,4c","2h,Th,3c,Qs"
"Ad,Kd","5d,6c,2c,4h,2d"
"8c,4d","8s,3c,5c,9d,Qh"
"2d,7c","9s,4c,Jd"
"9d,6d","6c,Qs,5d,Kh"
"Ac,Ts","2d,Th,9c"
"3c,7c","7h,4d,Th,Jd,2h"
"7s,2d","9d,4h,3c,8c,Kh"
"Kd,7c","2c,Ts,4d,4h,Td"
"2d,7c","2c,4c,9s,7d,2h"
"7d,Qh","Td,Qd,9d,As,7c"
"3s,6c","4h,Ts,Th"
"4d,8h","Kd,Ks,Ts,3d,9h"
"6c,Ac","Kh,Js,9s"
"5c,9s","Td,3d,Ad,Ah"
"Qc,7c","6h,Qh,4d,Jd,6s"
"Ah,Kc","2c,6s,8c,9d,5c"
"Ad,4h","Ac,Tc,Kd,5d,2h"
"Kd,2c","7h,7s,Qc,7c,6h"
"8d,Qd","Js,Ts,5s,4d"
"5c,6c","Qh,3d,4h,Kd"
"9c,Jh","4c,8d,9s"
"3h,Ah","Jc,9c,8s,Jd,6d"
"7d,Td","Qs,3s,8d,Kh"
"3h,2s","7h,8c,Kd,7c,Jh"
"5c,Ts","2c,9s,9d,7d,7s"
"Qs,Ah","Jh,Js,4c"
"Ah,Jh","7s,7d,Tc,2h"
"Jc,7c","5h,9h,Ks"
"7s,6d","Td,6h,Kc,Ks,7c"
"Ac,Js","5h,7s,Th,2h"
"9c,5s","2c,Qh,Th,7s"
"2d,Kh","8s,Ad,3c,9d,Jh"
"6c,2c","7c,3h,Qc"
"3d,Kd","Jh,Jd,2d,9s"
"Kd,Ah","7h,Qc,Kh,3s,Qh"
"7d,2c","Kh,3s,6c,Qc,Qd"
"Jd,5s","Td,7d,Ks,9h"
"4s,Ac","3c,Ad,8s,8c,6c"
"8s,3h","4c,9s,2h,Jd,Tc"
"Ac,5d","3d,2h,Qh,4s"
"5c,4d","3c,2d,4s"
"Ts,2d","Js,7c,Ks,6h"
"Kd,3s","Ac,9h,6d,Ad"
"8c,4h","9c,4c,9d,As,7c"
"7c,8s","Ks,3h,Qc,9c"
"9c,6h","4d,Qh,Jd"
"Ac,9h","8d,7s,9d"
"7d,Js","Jd,4d,Kc"
"8c,5c","4s,3c,Jc,6c"
"Th,Ks","9c,8c,Kh,2d,4c"
"Kc,2d","Jc,2s,7s,Qs"
"7h,9d","5s,5c,6s,Jd,Ts"
"Td,Jd","Qc,Jc,Ts,Js,Tc"
"7d,5d","2h,Qc,Td,9s"
"Kd,Ad","9h,4d,8h"
"3h,Th","8d,9h,Td,Ah"
"Tc,7h","2d,As,3d,5s"
"8h,4s","3h,Kh,8d,Ah"
"9s,As","3c,3d,Ac,6d"
"Ah,9s","7h,5h,7s"
"7c,9h","3h,Jh,3d,4c"
"Th,6s","9s,Kd,8c"
"8c,Td","4c,6s,Ts,2s,5d"
"Qh,4d","Kh,9c,Ac"
"5d,Th","8s,4d,7s,Tc,3s"
"6c,2d","5s,Ad,Jh,As,4d"
"Ah,8h","2c,3c,3d"
"7h,Ah","3s,6s,6d"
"Jd,Qd","Kd,Ts,5d"
"Qd,3h","Td,Kc,2d,5s"
"Kd,Qd","Td,2h,4h,2c"
"Js,Td","4s,Tc,Kh,4h,7h"
"4s,5c","Ah,9d,6s,8s"
"8h,8c","8s,6s,4d,Qc,6h"
"5h,9d","4s,6c,2s,5c,3c"
"5h,Kd","Ks,4h,5d,Kh,2d"
"8d,Tc","Kc,5s,5d,8s,4s"
"8s,3d","Tc,Qh,9s,Qd"
"Js,3h","8d,As,6h,4d"
"Tc,Ah","3c,Th,6s,Td"
"Ks,Kh","As,Qh,6s,8h,Kd"
"3s,8s","3d,3h,Jc,Kh"
"Jd,9s","Ts,Td,Ac,Qc"
"3h,Td","3d,Ts,4s,Qh"
"Jd,4h","2d,3c,9h,3d,Qc"
"Qc,7d","9c,Jh,Kc,4d,Qs"
"2d,6c","5d,7d,3c,4h,Kh"
"5c,2s","Ad,3d,Jc,7d,9d"
"3c,Qd","3d,Kd,Qc,Kc"
"Kh,3d","Td,5s,Kd,7h"
"3s,6c","5s,Jc,8c,7s,7c"
"3d,6s","7d,3h,7h,Qc,8s"
"Jc,4s","2h,7c,8s,9s,Qc"
"As,5h","3h,5d,Qs,2s"
"Qd,Td","2h,6d,2c,3s"
"2c,5c","4s,Kh,Kd,3h"
"6c,7d","Td,Jd,Ah"
"5s,Ac","Js,As,9h,4h"
"9c,Ah","Td,8s,Ac"
"Kc,7c","7d,9d,Ad,8c,Qc"
"9h,6h","7c,Jc,Qc,3s"
"3c,4c","Ts,9d,7c,7d,8d"
"8s,Qd","Td,Th,Jh,6s"
"3d,5d","6c,7c,As"
"Tc,8s","4s,2s,2d,6c,9d"
"3c,6s","7d,2h,7s"
"4d,Ah","Tc,2c,Qc,6s"
"Tc,5s","Js,2d,4h"
"8d,5d","4s,7d,3h"
"7c,8h","9s,Jd,3s,Qs"
"Jh,2d","9h,5h,Ah,8d"
"9d,5d","2d,Kh,Jh,4d,9c"
"8h,Kd","Jh,2s,9h,7d,4s"
"2s,8h","2c,7d,Th,9s,3s"
"3d,7d","Ts,6c,3c"
"8c,6c","Ts,Ah,5h,8h,9h"
"5s,Jh","8c,Td,4d,8s,3s"
"Jd,Qc","4c,9d,3h,Kd,8d"
"9s,Qs","Ac,3d,3s,8h,5c"
"7d,8c","Qs,6c,8h,9c,Qh"
"2h,9h","6c,Ks,Qh,2d"
"Th,As","8h,8d,4c,Jd,8s"
"Kc,9c","2h,2s,3c,5h,4d"
"9c,7d","3s,4d,Qs,Jd,3d"
"Jc,5s","3h,Th,Qs,Ks"
"Js,9s","4c,Qc,3d,9c,8h"
"6d,8s","5s,Qh,5h,4h"
"Kd,5c","Qc,Qh,Jd,6c"
"Qc,4c","6d,7h,Th,5c"
"Ad,Kc","6h,6s,6c,5c"
"9s,3h","Qc,8h,3d"
"4c,5h","3c,5c,5s,6s,8s"
"8c,Ah","Qh,5d,7d"
"Ah,7c","5c,Ts,Jh"
"Ks,Js","4s,Jh,2c,7d"
"2h,Js","2d,Jh,8d,Ah"
"Ad,3s","Ah,8h,Qc,9h,8d"
"3s,3d","2c,2s,2d,Ad"
"3c,6h","5h,9d,Td"
"5c,3h","6s,5s,Kh,Ac,9h"
"4s,5s","Jd,Qd,7c"
"Jh,7s","7c,5h,Kd,9s"
"4h,Jd","Td,6h,Ac,Ts,Qh"
"4c,4h","5d,5h,9h,Ah"
"Qd,Qs","5s,Jh,Th"
"Ad,Tc","Qs,9c,Kc,9h,5d"
"8s,4s","4d,9d,9h,8d,3s"
"Ks,Ad","9d,4s,Tc"
"5d,6d","Ah,Kd,3d,Kh,3s"
"7c,Td","Tc,Kc,Js,4d,3d"
"Kd,Kc","5d,Qh,Qd,4s"
"7d,Jc","Qd,4s,2s,6s"
"Qc,Th","5s,6h,7h"
"8h,7s","Th,2s,Jd,6h"
"3s,Qd","As,5c,6h,Kd"
"8d,Ad","Qd,Kd,4c,8s,Kh"
"7s,Qs","8s,9d,6h"
"Js,6d","Jh,8s,5d,2c,6c"
"2h,3h","Kd,4h,Qs,As"
"5h,7d","Ad,Ah,4s,5s,2d"
"As,5h","Jh,7d,9s,3d"
"4s,Tc","7s,Js,Kd"
"Jc,2h","2c,8d,7c"
"8c,5h","3h,8s,Kh,Ks,4c"
"9h,Qh","Ts,9s,6h,Qs"
"Js,8h","4h,7d,Ac"
"2d,3d","7s,5h,4s,5d"
"9d,6s","5s,As,Ac"
"3s,Qd","6s,4s,Ts,Tc"
"6d,9c","As,Td,7c,8h,8s"
"7h,6c","Ks,Ts,5s,7d,4d"
"5d,Ac","Kc,Jc,8h"
"5c,7c","Ks,4d,9s,Qs,9d"
"5h,2h","3h,8d,Ad"
"Kd,9c","3d,3s,Jd,3c"
"Ks,Kh","5s,Js,2d"
"Jc,9c","9h,4c,5h,7d"
"5h,Th","5c,Ts,Tc,4s,8s"
"9h,Ks","Th,8h,Jc"
"4c,7h","Ac,2h,Tc,4h,5c"
"4h,2d","Kh,7s,9d"
"3d,Ah","Js,Td,5c"
"Qd,6c","5s,4d,2s,6h"
"Tc,5s","3c,Ac,As"
"Ks,9d","8c,2h,6d,7s,3s"
"Qc,Jc","7c,2c,8c,7s"
"Kc,8d","9d,8c,Js"
"7c,4s","8c,3h,8s,7h,2d"
"7c,5d","Qs,As,Ts,Jd,4h"
"9d,Jd","Js,7s,4s,2h"
"7h,5c","5h,6c,Th,5s,6s"
"2s,3c","4d,5s,8s,8h,Th"
"Js,2d","6h,Qd,4c,3s"
"6h,Qd","Jh,3s,8d"
"Ad,4h","3s,7s,3h"
"Kd,Tc","2h,2s,Kc,8c"
"Qd,4h","5c,Kd,7c"
"Ac,8d","7s,Ks,5s,9c,3h"
"7s,4c","Jc,8c,Ac"
"Td,3d","Ts,Ad,7d,6h"
"6d,Tc","7c,5c,Th,2c"
"Tc,6h","Qs,Ts,2s,8h,6d"
"6c,4c","As,5s,7s"
"Ah,Qc","9d,Ts,6h"
"7s,8s","2d,9h,5d"
"Ah,8h","2c,8s,3d,Kh,7h"
"9c,3s","5c,8c,Ah,Qs"
"Qh,Ac","8d,6c,3s,2s,2h"
"Jd,Ac","Js,4s,Th,7s"
"6c,Kc","3c,5s,8s,As"
"Th,9s","Ks,Ts,3s"
"9d,4h","Ks,Kh,8h,5d,2d"
"6d,8h","As,2s,3s"
"4c,3s","8s,Qh,Ts,2h"
"Js,4c","Qh,7s,6d"
"Ts,Ad","7d,3d,8c"
"9c,Ah","3h,7c,5h,Qc,9s"
"6c,2s","4c,8c,7h"
"7c,5d","As,2h,8d,3c,6s"
"Kc,Js","7d,4h,4c"
"Qd,7h","Ts,Td,Qc,Qs"
"4h,5d","3s,7s,2d,9h"
"5c,7d","Jh,2c,4d"
"Ts,5c","4h,9d,Tc"
"4d,Js","Qc,Ac,8c,4c,5s"
"8s,5h","8c,7s,Ks"
"Qd,5d","Th,Td,Jh,3h,4s"
"8s,9s","Qs,Tc,Qd,3d,2h"
"2c,Ah","Ks,Kh,Js,Ts"
"Ad,4s","Ts,8c,5d"
"3h,2d","Qh,6c,5h,8s,Jh"
"Qh,Jc","Qc,3c,Jd,9d,Td"
"3c,7d","Qh,Ad,7s"
"8d,Ah","Kc,8c,3d"
"8d,5c","4h,Qc,4d,Qd"
"6c,As","9h,8d,Jd"
"6h,4s","7h,Qd,Kh,Jc,8d"
"3c,6s","2c,4h,Td,3s"
"5s,4d","4c,2s,Qh,7h"
"4h,8c","Jc,2c,2s,As,7c"
"4h,3c","Ah,Th,2h"
"8c,Jh","8h,Ts,Qd,Qh,Ac"
"Jc,Ts","3c,2c,Qs,9h"
"6s,6c","Ah,2d,8d,7s"
"2s,Kh","8h,Jh,Ks,Jd,Th"
"Kc,5c","Kh,Ad,9h,Ks"
"4d,Jc","3h,8c,Ac,Jh"
"9d,Ad","9s,6d,8d,Kd,4c"
"Qh,8s","Ad,7d,4h,6d,6c"
"Ad,Jc","Th,7c,Kh,2c"
"3h,Th","Ad,8c,Jd"
"7h,6s","Ad,Kd,Qd,Js"
"Kh,4c","3s,3d,Kd,Qh"
"As,4s","5c,Th,Qc,Ts,3c"
"2s,3d","Tc,Ks,Jc,Qc"
"4h,8c","5h,Ad,3h,8s,Qh"
"4d,9s","Qh,Js,2h"
"8c,4s","Tc,9s,Jh,4d,9d"
"Qs,Kd","Js,5c,7d"
"2d,Ad","9h,Ts,3h"
"7s,2d","7d,Ac,Ah"
"2d,Jc","7d,Qc,Ks,As,5d"
"6h,3h","As,Kh,2d"
"Td,7s","2c,7c,Js,Jh"
"3h,Kd","3s,Kc,Ac,8s"
"Kh,3d","Ah,4d,5d,9h"
"6s,Jc","9s,2d,5d"
"Kd,Tc","3s,Ks,7c"
"2h,6d","Qc,4h,7c,6h"
"9h,2s","7s,3h,As,6h"
"Th,9h","4d,Qc,Ks"
"6s,Ks","8d,3s,8h"
"2d,Jc","5d,Qd,7s"
"Js,2s","5h,Th,Ad"
"Qc,Kd","6c,7s,4s,Ad"
"4c,3d","Ah,2d,5d,Jh,5h"
"Td,Ad","Qd,4s,5c,Tc"
"3h,Kd","Qs,5s,3c,Kc"
"Ad,Qs","6h,Td,Qh,5s"
"3h,Ah","8h,4s,7d,Jc"
"Kc,7d","Ac,3d,Jc,2s,8h"
"Kh,9h","8s,9s,Ad"
"Jh,3d","5h,Qd,Ts,4s,9c"
"Ks,4s","4h,7s,8c"
"9h,Ah","Th,8d,Qh,5h"
"5s,Kh","4s,8s,9c,Ks"
"Tc,6d","Js,Qs,8h,8s"
"8s,9d","6h,5d,Qd,5h"
"Qh,Jd","Kc,Ac,8h,2d"
"3d,4h","Qc,2h,6s"
"6c,Kc","Td,9h,Qh,2d,4s"
"7h,2s","9d,4s,As"
"Ad,Js","Th,9s,7d"
"Ks,Jd","9s,Kh,9h,Js,9c"
"9d,9s","8c,As,9h,6s"
"5c,5d","9s,7s,9d,4s,Ks"
"Qd,5s","Js,9h,Ts,Tc"
"2h,8s","Js,Tc,Ah,Kd,8d"
"7c,Ah","Jc,Th,Ts,5d"
"8d,Th","8s,7h,Qd"
"Tc,Ts","Qd,Qc,4d"
"8c,Kd","3h,8d,7d"
"6h,Qc","5c,3d,5d"
"8d,Qd","4d,3c,Ks,2c"
"3c,5d","Qh,Js,7s"
"Kd,Tc","8d,3s,Td"
"2h,6d","7h,Ah,Qd,3s,Jc"
"Ks,6s","6d,Ac,5c,3h,Qd"
"Ks,Th","Jh,3c,7h,4h,Qd"
"7s,9h","8h,3c,4s"
"7h,Ts","6d,Qh,Jh"
